resultPosition,trapNumber,raceTime,raceDate,raceId,raceNumber,raceClass,raceDistance,meetingId,trackName,dogId,dogName,dogSire,dogDam,trainerName,ownerName
1,3,20:08:00,27/01/2018,407116,8,A4,500.0,334781,Sheffield,499027,Deckle,Superior Product,Jazz Tilly,G A Griffiths,"Mr J P Bozza,mr P Bridges,mr S Watson"
1,6,20:06:00,27/01/2018,407076,7,D3,285.0,334826,Hove,460249,Hamsteronapiano,Sparta Maestro,Rushwee Bound,W R Wrighting,Miss M F Wrighting
1,4,20:06:00,27/01/2018,407086,3,A3,435.0,334769,Pelaw Grange,464904,Think Fast,Boris Ranger,Target Cheyanne,R Thompson,Mr R Thompson
1,6,20:02:00,27/01/2018,407152,3,A4,480.0,334761,Perry Barr,477412,Says You Molly,Paradise Madison,Says You Sally,K M Kelly,Mrs K M Kelly
1,1,20:01:00,27/01/2018,407505,3,A5,480.0,334832,Newcastle,496509,Bramble Buster,Windy Millar,Millstreet Belle,D Calvert,Mr S Anderson
1,3,20:01:00,27/01/2018,407022,2,A3,462.0,334785,Kinsley,495195,Sillan Star,Ballymac Vic,Skywalker Shandy,K Dobson,The Horsforth
1,5,20:00:00,27/01/2018,407370,3,OR,714.0,334742,Crayford,495967,Glenbeg Val,Droopys Cain,Rubik Ruby,N F Carter,Late Late Lads
1,2,20:00:00,27/01/2018,407346,5,A2,480.0,334811,Swindon,492935,Skywalker Lizzie,Ballymac Vic,Skywalker Queen,A M Kibble,Conley Family
1,1,20:00:00,27/01/2018,407285,5,D2,260.0,334744,Belle Vue,484407,Brannans Bhoy,Top Honcho,Tyrur Fergie,B Heaton,Brannans Forty Percent
1,3,20:00:00,27/01/2018,407164,3,A7,450.0,334746,Poole,452723,Pitching Pennies,Scolari Me Daddy,Ballarue Angela,J R Grant,Mr J R Grant
1,4,20:00:00,27/01/2018,407047,1,HP,480.0,334800,Shawfield,479639,Kilcoke Lane,Droopys Scolari,Across The Miles,E F B Sillars,"Mr B Fairbairn,mr G Fairbairn"
1,5,20:00:00,27/01/2018,407177,3,D1,277.0,334794,Yarmouth,491043,Tyrur Bubbles,Makeshift,Tyrur Quevega,M R Allen,Mr M R Allen
1,2,20:00:00,27/01/2018,407299,3,D4,250.0,334709,Peterborough,497696,Abigails Boy,Smooth Daddy,Hi Wee Buns,P S Rea,Mr P S Rea
1,4,19:59:00,27/01/2018,407741,6,A6,400.0,334802,Romford,503214,Dougies Ebroju,Lenson Bolt,Margaret Mary,P W Young,Mr D A Hayes
1,4,19:57:00,27/01/2018,407059,3,A1,500.0,334818,Nottingham,469823,Plaza Girl,Skywalker Ace,Racecourse Wowie,L Cook,Plaza Builders Ltd
1,6,19:54:00,27/01/2018,407130,6,S3,630.0,334783,Monmore,454023,Westmead Hunter,Westmead Logan,Droopys Kina,L J Stephenson,Boro Boys On Tour
1,3,19:54:00,27/01/2018,407140,2,D5,260.0,334774,Towcester,493836,Greencroft Jed,Razldazl Rioga,Coolavanny Sarah,S J Rayner,Mr S J Rayner
1,1,19:51:00,27/01/2018,407115,7,A7,500.0,334781,Sheffield,503788,Harton Luke,Confident Rankin,Farloe Lila,S Naylor,Mr S Naylor
1,3,19:49:00,27/01/2018,407075,6,A5,515.0,334826,Hove,472166,Rogue Hurricane,Oran Maestro,Stamford Molly,W R Wrighting,"Miss B S Green,mr G R Whittington"
1,1,19:48:00,27/01/2018,407085,2,A6,435.0,334769,Pelaw Grange,491284,Tylers Bullet,Barefoot Allstar,Curramore Tara,B Jones,Mr B Jones
1,4,19:47:00,27/01/2018,407021,1,D4,268.0,334785,Kinsley,454759,Cluain Air Dean,Malouda,Ballyfidora Golf,P A Holmes,Miss B E Heighton
1,6,19:46:00,27/01/2018,407151,2,A8,480.0,334761,Perry Barr,492428,Charleys Johnny,Hades Rocket,Charleys Noire,S A Aveline,Mrs S A Aveline
1,5,19:46:00,27/01/2018,407504,2,HP,480.0,334832,Newcastle,485911,Drivers Gold,Sparta Maestro,Some Tears,J J Fenwick,Mr J J Fenwick
1,5,19:45:00,27/01/2018,407345,4,A2,480.0,334811,Swindon,498412,Warp Factor One,Droopys Scolari,Quivers Point,P R Chatfield,Mr A G Rawlings
1,6,19:45:00,27/01/2018,407284,4,A4,470.0,334744,Belle Vue,487678,Turbo Mouse,Premier Fantasy,Memphis Peach,G A Griffiths,"Mr J T Berry,mr C Parr"
1,3,19:45:00,27/01/2018,407163,2,A5,450.0,334746,Poole,501371,Shes Eran,Kinloch Brae,Big Time Choice,G E Jones,"Mr G E Jones,mr J M D Peach"
1,5,19:45:00,27/01/2018,407176,2,A6,462.0,334794,Yarmouth,503202,Alien Digger,Tullymurry Act,Alien Lizzy,D F Carter,The Land Syndicate
1,3,19:45:00,27/01/2018,407298,2,A6,435.0,334709,Peterborough,495844,Rahina Blake,Laughil Blake,Typical Pearl,P S Rea,Mr P S Rea
1,4,19:44:00,27/01/2018,407740,5,A8,400.0,334802,Romford,494785,Borwick Sleepy,Ballymac Eske,Millwards Mink,P W Young,Mr P W Young
1,5,19:43:00,27/01/2018,407369,2,S8,540.0,334742,Crayford,497481,Sun Hill Blue,Top Honcho,Barbers Yoko,B D O'sullivan,Oak Racing Syndicate
1,5,19:41:00,27/01/2018,407058,2,A6,500.0,334818,Nottingham,498168,Haggswood Millie,Fear Haribo,Wonder Girl,A Thompson,Executors Of The Late Mr Pa Vernon
1,5,19:38:00,27/01/2018,407129,5,A4,480.0,334783,Monmore,485136,Godalego,Head Bound,Class Of Dromin,P I Cowdrill,"Mr D G Blagden,mr I R Capsey,mr M T Round,mr R W Round"
1,5,19:37:00,27/01/2018,407139,1,A7,480.0,334774,Towcester,500554,Magical Dreamer,Tyrur Big Mike,Laughil Louise,K R Hutton,Scot First Timers
1,6,19:34:00,27/01/2018,407114,6,A8,500.0,334781,Sheffield,501428,Unique King,Tullymurry Act,Iconic Lola,J D Davy,Miss H Wrigglesworth
1,5,19:33:00,27/01/2018,407074,5,A9,515.0,334826,Hove,485116,Enzo Xiomara,Take The Crown,Bang On Bridget,J T Kingsley,"Mr C T Clark,mrs T Clark"
1,6,19:30:00,27/01/2018,407162,1,A8,450.0,334746,Poole,456268,Spot On Buick,Cracking Man,Steady Pace,R W Smith,Mr R W Smith
1,5,19:30:00,27/01/2018,407150,1,D4,275.0,334761,Perry Barr,491843,Unlikely Knight,Superior Product,Galileo Girl,G B Ballentine,Mr G B Ballentine
1,3,19:30:00,27/01/2018,407283,3,A7,470.0,334744,Belle Vue,504515,Minnies Jaffa,Knockglass Billy,Minnies Jovite,G A Griffiths,Mr H Martin
1,3,19:30:00,27/01/2018,407344,3,A5,480.0,334811,Swindon,468451,Follow De Arrow,Crusty Crab,Wise Totty,P V Swadden,Miss S Swadden
1,3,19:30:00,27/01/2018,407175,1,A4,462.0,334794,Yarmouth,498596,Tromora Line,Ballymac Vic,Tromora Dixie,D W Lee,Ard Up And Happy
1,3,19:30:00,27/01/2018,407503,1,A6,480.0,334832,Newcastle,473108,Cabin Fever,Godsend,Peggys Lucy,A C Dawson,Mr A C Dawson
1,6,19:30:00,27/01/2018,407084,1,A5,435.0,334769,Pelaw Grange,493399,Cartroc Slyde,Forest Master,Rattling Queen,R Thompson,Mrs K Thompson
1,4,19:30:00,27/01/2018,407297,1,A5,435.0,334709,Peterborough,502331,Road To Victory,Oakes Road,Cabra Roxy,P C White,Mr V D Bailey
1,4,19:28:00,27/01/2018,407739,4,S3,575.0,334802,Romford,484510,Cubsy Lola,Tullymurry Act,Shaneless Brae,P W Young,"Mr D W Cowell,mr S D Parrish,mr J Shelvey,mr R Shelvey"
1,3,19:27:00,27/01/2018,407368,1,A7,380.0,334742,Crayford,488614,Huarache Tipton,Cashen Legend,Calzaghe Naomi,J Daly,Jim Daly Racing Syndicate
1,1,19:25:00,27/01/2018,407057,1,A2,500.0,334818,Nottingham,494595,Headleys Jacob,Superior Product,Federal Express,L G Tuffin,"Mr P R Albans,mr L G Tuffin"
1,6,19:23:00,27/01/2018,407128,4,A4,480.0,334783,Monmore,476697,King Alan,Droopys Scolari,Shaws Dilemma,P A Curtin,K S S. Syndicate
1,4,19:19:00,27/01/2018,407113,5,HP,500.0,334781,Sheffield,479210,You Little Una,Tullymurry Act,Best Special,N Melbourne,Three Tennas
1,1,19:17:00,27/01/2018,407073,4,A4,515.0,334826,Hove,469058,Drawn To Trouble,Uncle Eoin,Night Party,M C B Collins,Miss M C B Collins
1,2,19:15:00,27/01/2018,407282,2,A8,470.0,334744,Belle Vue,497932,Brunswick Berry,Superior Product,Brunswick Jenny,D L Cross,"Mr R Cross,mrs D Cross"
